week,slot_number,brand,recipe_title,person_size,calories,grams
2026-W20,57,HelloFresh,Peri Peri Honey and Lime Chicken Skewers,2,2280,557.8
2026-W20,58,HelloFresh,Thyme Roasted Chicken Breast and Gravy,2,2978,968.3
2026-W20,59,HelloFresh,Classic Lamb Shepherd's Pie,2,2232,633
2026-W20,60,HelloFresh,Scrub Club Coconut Chicken Curry,2,2660,593
2026-W20,61,HelloFresh,North Indian Inspired Lamb Koftas and Mint Yoghurt,2,2508,544.8
2026-W20,62,HelloFresh,Soy Barramundi and Garlic Rice,2,2556,676.3
2026-W20,63,HelloFresh,Honey Gochujang Pulled Chicken Rice Bowl,2,2947,513.5
2026-W20,64,HelloFresh,Chipotle Ribs and Loaded Cheese Smashed Potatoes,2,3908,720
2026-W20,65,HelloFresh,Peri Peri Chicken Burger and Wedges,2,4420,656.3
2026-W20,66,HelloFresh,Herby Creamy Tomato Chicken Penne,2,2920,495.4
2026-W20,67,HelloFresh,Sticky Honey Indonesian Style Beef Rice Bowl,2,2591,371.8
2026-W20,68,HelloFresh,Tex-Mex Style Pork Mince Tacos,2,3944,542.8
2026-W20,69,HelloFresh,Chermoula Lamb Koftas and Balsamic Fig Sauce,2,2356,526.3
2026-W20,70,HelloFresh,Speedy Chipotle Bean Chilli,2,3138,667.5
2026-W20,71,HelloFresh,Presto Pesto Pea Rigatoni,2,3207,418.5
2026-W20,72,HelloFresh,Teriyaki Glazed Salmon on Fragrant Coriander Rice,2,5542,799
2026-W20,73,HelloFresh,Smoky Creamy Chipotle Pulled Pork Tagliatelle,2,6626,785
2026-W20,74,HelloFresh,Rosemary Roast Lamb and Red Wine Jus,2,4562,1216.3
2026-W20,75,HelloFresh,21 Day Aged Sirloin Steak and Creamy Tarragon Sauce,2,3387,601.6
2026-W20,76,HelloFresh,Herby Lamb Steak and Garlic Butter,2,2453,525.5
2026-W20,77,HelloFresh,Mussel & King Prawn Tagliatelle and Garlic Baguette,2,4707,761.8
2026-W20,78,HelloFresh,Crispy Cajun Spiced Chicken and Bacon Burger,2,5826,818.5
2026-W20,79,HelloFresh,Ultimate Butter Chicken and Garlic-Coriander Naan,2,5368,805.3
2026-W20,80,HelloFresh,Glazed Halloumi and Jewelled Pearl Couscous Salad,2,5781,819.5
2026-W21,1,HelloFresh,Speedy Chipotle Chicken Penne,2,3070,523.5
2026-W21,2,HelloFresh,Hachis Parmentier,2,2862,635.5
2026-W21,3,HelloFresh,Family Favourite Pork and Apple Burger,2,3762,507.1
2026-W21,4,HelloFresh,Easy Chicken à la Normande,2,4135,720.5
2026-W21,5,HelloFresh,Honey Mustard Sausage Traybake,2,3093,727.5
2026-W21,6,HelloFresh,Roasted Vegetable Lasagne,2,2944,602.3
2026-W21,7,HelloFresh,Chorizo Crusted Baked Penne,2,4044,454.9
2026-W21,8,HelloFresh,Family Favourite Hoisin Beef Noodle Stir-Fry,2,2741,458.8
2026-W21,9,HelloFresh,Indonesian Inspired Pork Skewers in Sambal Sauce,2,3435,551.5
2026-W21,10,HelloFresh,Ayam Goreng Style Fried Chicken,2,3570,585.6
2026-W21,11,HelloFresh,Cơm Tấm Inspired Sweet Spiced Pork and Jasmine Rice,2,2304,629.8
2026-W21,12,HelloFresh,Lemongrass and Sambal Beef Larb Style Salad,2,2479,483
2026-W21,13,HelloFresh,Fajita Flavours Spinach & Ricotta Tortelloni,2,3531,458.5
2026-W21,14,HelloFresh,Vietnamese Cà Ri Chay Inspired Butternut Noodles,2,2667,709.8
