week,slot_number,recipe_nk,recipe_title,total_kcal,total_grammage,kcal_net_pantry,grammage_net_pantry
2026-W20,56,a65b37b6-be50-44e3-8c28-1049172436a7,Chicken Gyros Inspired Bulgur Bowl,652.246653919694,537,518.666653919694,520.56
2026-W20,57,a57912dd-35f6-46d7-8776-22e1caeee3a8,Peri Peri Honey and Lime Chicken Skewers,544.9330783938815,557.8,479.1830783938815,550.3599999999999
2026-W20,58,16c74f0f-a24e-4f22-a11a-7b4bd94f4930,Thyme Roasted Chicken Breast and Gravy,711.7590822179732,968.3,575.0890822179732,945.3
2026-W20,59,26546a13-018f-44fc-92a8-5e4136bc9cc8,Classic Lamb Shepherd's Pie,533.4608030592734,633,529.5908030592734,632
2026-W20,60,871a72aa-5046-4ac9-8dee-f883588cfbd5,Scrub Club Coconut Chicken Curry,635.755258126195,593,628.015258126195,591
2026-W20,61,56edda3d-ea97-4514-a016-9d182dd1cdc4,North Indian Inspired Lamb Koftas and Mint Yoghurt,599.4263862332696,544.8,529.8063862332696,535.5299999999999
2026-W20,62,9c865caf-f4a4-4be5-b90f-255bc0faa7f3,Soy Barramundi and Garlic Rice,610.8986615678776,676.3,531.4586615678777,664.3
2026-W20,63,31167c6a-c3cb-4480-afbb-74049ad0b154,Honey Gochujang Pulled Chicken Rice Bowl,704.3499043977055,513.5,704.3499043977055,513.5
2026-W20,64,9aabf817-4629-40cd-9f93-79a019694037,Chipotle Ribs and Loaded Cheese Smashed Potatoes,934.0344168260037,720,903.0944168260037,716.78
2026-W20,65,b40ba53e-50cf-4be2-9f51-bec57ab89819,Peri Peri Chicken Burger and Wedges,1056.4053537284894,656.3,1056.4053537284894,656.3
2026-W20,66,73617b18-1061-4cc0-87d6-5a1ac0075631,Herby Creamy Tomato Chicken Penne,697.8967495219885,495.4,694.0267495219884,494.4
2026-W20,67,5c730de6-de67-483f-850c-90b5cb334825,Sticky Honey Indonesian Style Beef Rice Bowl,619.2638623326959,371.8,619.2638623326959,371.8
2026-W20,68,f87b11f2-7d6b-4b5e-aff2-ac8622069a91,Tex-Mex Style Pork Mince Tacos,942.6386233269598,542.8,876.8886233269598,535.3599999999999
2026-W20,69,c9f55a1a-4f6a-4e54-8708-8de2e20c58d0,Chermoula Lamb Koftas and Balsamic Fig Sauce,563.0975143403441,526.3,501.2175143403441,519.0299999999999
2026-W20,70,b6eb17e4-7c97-4bdd-8f76-9eb9b4de293f,Speedy Chipotle Bean Chilli,750,667.5,678.3,657.5
2026-W20,71,46e5f63e-bd1e-404c-addd-268daed9aa30,Presto Pesto Pea Rigatoni,766.491395793499,418.5,762.621395793499,417.5
2026-W20,72,7eb4ef55-a5bf-4a03-81ff-f03deada5276,Teriyaki Glazed Salmon on Fragrant Coriander Rice,1324.569789674952,799,1164.4697896749522,779.8
2026-W20,73,50f542ab-e06e-4b89-a2aa-5b4ba41c31ff,Smoky Creamy Chipotle Pulled Pork Tagliatelle,1583.6520076481836,785,1575.9120076481836,783
2026-W20,74,777eac62-2003-4a9d-8515-ae3843f6944b,Rosemary Roast Lamb and Red Wine Jus,1090.3441682600383,1216.3,919.1341682600382,1187.59
2026-W20,75,0e3abab2-1884-49b4-b83a-c183de510b2e,21 Day Aged Sirloin Steak and Creamy Tarragon Sauce,809.5124282982791,601.6,809.5124282982791,601.6
2026-W20,76,caa3a34a-f523-4d63-b1ef-fd165766b7ff,Herby Lamb Steak and Garlic Butter,586.2810707456979,525.5,482.7110707456979,511.06
2026-W20,77,e47d660a-f733-4d88-a5b4-a048db36f872,Mussel & King Prawn Tagliatelle and Garlic Baguette,1125,761.8,1125,761.8
2026-W20,78,5d1c621c-4b8e-4832-89ee-6a3bfc6c9692,Crispy Cajun Spiced Chicken and Bacon Burger,1392.4474187380497,818.5,1392.4474187380497,817.67
2026-W20,79,1b7641c6-9c98-427f-9f51-86d0cadba22d,Ultimate Butter Chicken and Garlic-Coriander Naan,1282.982791586998,805.3,1141.662791586998,786.8599999999999
2026-W20,80,7b3406a2-4777-4401-bf3f-72c46a19782f,Glazed Halloumi and Jewelled Pearl Couscous Salad,1381.6921606118547,819.5,1254.0621606118548,805.62
2026-W21,1,39aabc65-24f1-4297-93e4-0a52f3dc37cb,Speedy Chipotle Chicken Penne,733.7476099426386,523.5,654.3076099426387,511.5
2026-W21,2,5081bde3-4298-4a8a-a766-91a540c1a0e1,Hachis Parmentier,684.0344168260038,635.5,676.2944168260038,633.5
2026-W21,3,af1a6243-be39-489d-801c-30799d7f0823,Family Favourite Pork and Apple Burger,899.1395793499044,507.1,899.1395793499044,506.27000000000004
2026-W21,4,05a5e320-41be-4a20-a88c-57bd433ed85d,Easy Chicken à la Normande,988.2887189292543,720.5,843.8787189292543,695.5
2026-W21,5,4edb6ace-9bf9-45c2-928c-e495adab22c4,Honey Mustard Sausage Traybake,739.244741873805,727.5,667.5447418738049,717.5
2026-W21,6,e0b00d47-7b95-4abe-b6f8-c3a61b7be462,Roasted Vegetable Lasagne,703.6328871892925,602.3,695.8928871892925,600.3
2026-W21,7,6d0e9cac-a37c-42ff-9138-e910985d5cdd,Chorizo Crusted Baked Penne,966.5391969407266,454.9,883.6291969407266,442.68
2026-W21,8,c65a29f5-95a0-43ba-96ce-e29a6de57114,Family Favourite Hoisin Beef Noodle Stir-Fry,655.1147227533461,458.8,655.1147227533461,458.8
2026-W21,9,1b279616-ba4d-4c6f-aa71-2b8d2caadbfa,Indonesian Inspired Pork Skewers in Sambal Sauce,820.9847036328872,551.5,677.8747036328872,532.79
2026-W21,10,09701bbe-d69d-4bdb-8335-09318b8088a5,Ayam Goreng Style Fried Chicken,853.2504780114723,585.6,769.0704780114722,573.16
